RF1CHAR,RF2CHAR,CorrelationNMBR
RF_ALT_HIGH,RF_ALT_HIGH,1
RF_COM_HIGH,RF_ALT_HIGH,0.25
RF_EQ_HIGH,RF_ALT_HIGH,0.25
RF_IR_EUR_10Y,RF_ALT_HIGH,0
RF_FX_HIGH,RF_ALT_HIGH,0.25
RF_RE_HIGH,RF_ALT_HIGH,0.25
RF_VOLA_HIGH,RF_ALT_HIGH,0.25
RF_COM_HIGH,RF_COM_HIGH,1
RF_EQ_HIGH,RF_COM_HIGH,0.75
RF_IR_EUR_10Y,RF_COM_HIGH,0
RF_FX_HIGH,RF_COM_HIGH,0.25
RF_RE_HIGH,RF_COM_HIGH,0.75
RF_VOLA_HIGH,RF_COM_HIGH,0.5
RF_EQ_HIGH,RF_EQ_HIGH,1
RF_IR_EUR_10Y,RF_EQ_HIGH,0
RF_FX_HIGH,RF_EQ_HIGH,0.25
RF_RE_HIGH,RF_EQ_HIGH,1
RF_VOLA_HIGH,RF_EQ_HIGH,1
RF_IR_EUR_10Y,RF_IR_EUR_10Y,1
RF_FX_HIGH,RF_IR_EUR_10Y,0
RF_RE_HIGH,RF_IR_EUR_10Y,0
RF_VOLA_HIGH,RF_IR_EUR_10Y,0
RF_FX_HIGH,RF_FX_HIGH,1
RF_RE_HIGH,RF_FX_HIGH,0.25
RF_VOLA_HIGH,RF_FX_HIGH,0.25
RF_RE_HIGH,RF_RE_HIGH,1
RF_VOLA_HIGH,RF_RE_HIGH,0.5
RF_VOLA_HIGH,RF_VOLA_HIGH,1
RF_IR_USD_10Y,RF_ALT_HIGH,0
RF_IR_USD_10Y,RF_COM_HIGH,0
RF_IR_USD_10Y,RF_EQ_HIGH,0
RF_IR_USD_10Y,RF_IR_EUR_10Y,1
RF_IR_USD_10Y,RF_FX_HIGH,0
RF_IR_USD_10Y,RF_RE_HIGH,0
RF_IR_USD_10Y,RF_VOLA_HIGH,0
RF_IR_USD_10Y,RF_IR_USD_10Y,1
RF_EQ_LOW,RF_ALT_HIGH,0.25
RF_EQ_LOW,RF_COM_HIGH,0.75
RF_EQ_LOW,RF_EQ_HIGH,1
RF_EQ_LOW,RF_IR_EUR_10Y,0
RF_EQ_LOW,RF_FX_HIGH,0.25
RF_EQ_LOW,RF_RE_HIGH,1
RF_EQ_LOW,RF_VOLA_HIGH,1
RF_EQ_LOW,RF_IR_USD_10Y,0
RF_EQ_LOW,RF_EQ_LOW,1
