HeaderINDEX,idCHAR,nameCHAR,typeCHAR,currencyCHAR,descriptionCHAR,value_baseNMBR
Item,COM_GOLD,Gold,Commodity Index,USD,Gold 1 Ounce USD,1409.0000
Item,EQ_DE,DAX30,Equity Index,EUR,DAX Equity Index German Blue Chips,12398.0000
HeaderCURVE,idCHAR,nameCHAR,typeCHAR,descriptionCHAR,method_interpolationCHAR,nodesCHAR,rates_baseCHAR,floorNMBR,capNMBR,american_flagBOOL
Item,IR_EUR,IR_EUR,Discount Curve,EUR-SWAP Curve,linear,90|180|270|365|730|1095|1460|1825|2190|2555|2920|3285|3650|4015|4380|4745|5110|5475|5840|6205|6570|6935|7300|7665|8030|8395|8760|9125|9490|9855|10220|10585|10950,-0.00676656|-0.00689521|-0.00701982|-0.00713712|-0.00749303|-0.00762951|-0.00755468|-0.00730982|-0.00694368|-0.00650083|-0.00601746|-0.00552067|-0.00502952|-0.00455653|-0.00410926|-0.00369165|-0.00330514|-0.0029495|-0.00262348|-0.00232524|-0.00205261|-0.00180337|-0.00157531|-0.00136634|-0.00117454|-0.00099814|-0.00083554|-0.00068534|-0.00054626|-0.00041719|-0.00029713|-0.00018521|-0.00008066,,,
Item,IR_USD,IR_USD,Discount Curve,USD-SWAP Curve,linear,30|60|90|180|365|730|1095|1825|2555|3650|7300|10950,0.0145|0.0137|0.0127|0.0111|0.0097|0.0086|0.0085|0.0089|0.0103|0.0113|0.0146|0.0165,,,
HeaderFX,idCHAR,nameCHAR,typeCHAR,currencyCHAR,descriptionCHAR,value_baseNMBR
Item,FX_EURCAD,EUR_CAD,Exchange Rate,EUR,EUR CAD Exchange rate,1.4957
Item,FX_EURCHF,EUR_CHF,Exchange Rate,EUR,EUR CHF Exchange rate,1.0614
Item,FX_EURUSD,EUR_USD,Exchange Rate,EUR,EUR USD Exchange rate,1.0977
