HeaderINDEX,idCHAR,nameCHAR,typeCHAR,currencyCHAR,descriptionCHAR,value_baseNMBR
Index,EQ_DE,DAX30,Equity Index,EUR,DAX Equity Index German Blue Chips,12398
Index,COM_GOLD,Gold,Commodity Index,USD,Gold 1 Ounce USD,1409
HeaderCURVE,idCHAR,nameCHAR,typeCHAR,descriptionCHAR,method_interpolationCHAR,nodesCHAR,rates_baseCHAR,floorNMBR,capNMBR,american_flagBOOL
Curve,IR_EUR,IR_EUR,Discount Curve,EUR-SWAP Curve,linear,90|180|270|365|730|1095|1460|1825|2190|2555|2920|3285|3650|4015|4380|4745|5110|5475|5840|6205|6570|6935|7300|7665|8030|8395|8760|9125|9490|9855|10220|10585|10950,-0.00696729828146694|-0.00720414150141998|-0.00741231333225834|-0.00759257101150065|-0.00805621189940828|-0.00817166310824338|-0.00802769187978524|-0.00770481473688414|-0.00726889370343347|-0.00677030848163671|-0.00624561695401766|-0.00572007369201533|-0.00521020059330109|-0.00472605643184023|-0.00427309005037492|-0.00385357860696728|-0.00346770255999274|-0.0031143245851117|-0.00279153820716231|-0.00249704334826256|-0.00222839532402005|-0.0019831635192524|-0.00175902706783291|-0.00155382762913197|-0.00136559371988326|-0.00119254680233467|-0.00103309618665318|-0.000885827531340866|-0.000749488108700396|-0.000622970872262429|-0.000505298586435843|-0.000395608754614574|-0.000293139735793622,,,
Curve,IR_USD,IR_USD,Discount Curve,USD-SWAP Curve,linear,30|60|90|180|365|730|1095|1825|2555|3650|7300|10950,0.0191|0.0187|0.0188|0.0183|0.0175|0.0163|0.0156|0.0155|0.0162|0.0168|0.0194|0.0212
HeaderFX,idCHAR,nameCHAR,typeCHAR,currencyCHAR,descriptionCHAR,value_baseNMBR
Index,FX_EURUSD,EUR_USD,Exchange Rate,EUR,EUR USD Exchange rate,1.0889
Index,FX_EURCHF,EUR_CHF,Exchange Rate,EUR,EUR CHF Exchange rate,1.0847
Index,FX_EURCAD,EUR_CAD,Exchange Rate,EUR,EUR CAD Exchange rate,1.4426
